Hoenn #,Implemented,Name,Type 1,Type 2,Fossil,Aquire Method 1,,Aquire Method 2,,HP,Attack,Defense,SpAttack,SpDefense,Speed,Total,Ability 1,Ability 2,Hidden Ability,Attack Changes,,,,,,,
174,FALSE,Metagross,Steel,Psychic,,Evolve,,Catch,,80,125,130,95,90,70,590,Clear Body,,Light Metal,,,,,,,,
175,FALSE,Honedge,Steel,Ghost,Sword,,,,,45,80,100,35,37,28,325,No Guard,,,,,,,,,,
176,FALSE,Doublade,Steel,Ghost,,,,,,59,110,150,45,49,35,448,No Guard,,,,,,,,,,
177,FALSE,Aegislash Shield,Steel,Ghost,,,,,,60,50,140,50,150,60,510,Stance Change,,,,,,,,,,
F,FALSE,Aegislash Blade,Steel,Ghost,,,,,,60,140,50,140,50,60,500,Stance Change,,,,,,,,,,
178,FALSE,Shuppet,Ghost,,Puppet,Catch,Rustboro,,,44,75,35,63,33,45,295,Insomnia,Frisk,Cursed Body,,,,,,,,
179,FALSE,Banette,Ghost,Dark,,Evolve,,,,64,116,64,83,64,69,460,Insomnia,Frisk,Cursed Body,,,,,,,,
180,FALSE,Sableye,Dark,Ghost,Gem,Catch,Granite Cave B2F,,,50,75,75,65,65,50,380,Keen Eye,Analytic,Prankster,,,,,,,,
181,FALSE,Phantump,Ghost,Grass,Stump,,,,,43,70,48,50,60,38,309,Natural Cure,,Harvest,,,,,,,,
182,FALSE,Trevenant,Ghost,Grass,,,,,,85,110,76,65,82,56,474,Natural Cure,,Harvest,,,,,,,,
183,FALSE,Duskull,Ghost,,Skull,,,,,20,40,90,30,90,25,295,Levitate,,Frisk,,,,,,,,
184,FALSE,Dusclops,Ghost,,,,,,,40,70,130,60,130,25,455,Pressure,,Frisk,,,,,,,,
185,FALSE,Dusknoir,Ghost,,,,,,,45,100,135,65,135,45,525,Pressure,,Frisk,,,,,,,,
186,FALSE,Misdreavus,Ghost,Psychic,Vocal Cord,,,,,60,60,60,85,85,85,435,Levitate,,Frisk,,,,,,,,
187,FALSE,Mismagius,Ghost,Psychic,,,,,,60,60,60,105,105,105,495,Levitate,,Frisk,,,,,,,,
188,FALSE,Natu,Psychic,Flying,Tiny Birdbrain,Catch,,,,40,50,45,70,45,70,320,Synchronize,Early Bird,Magic Bounce,,,,,,,,
189,FALSE,Xatu,Psychic,Flying,,Evolve,,Catch,,65,75,70,96,70,94,470,Synchronize,Early Bird,Magic Bounce,,,,,,,,
190,FALSE,Chingling,Psychic,,Bell,Catch,,,,45,30,50,65,50,45,285,Levitate,,,,,,,,,,
191,FALSE,Chimecho,Psychic,Steel,,Evolve,,Catch,,75,40,85,95,95,25,415,Cloud Nine,Amplifier,Resonate,Evo: Resounding Clang,,,,,,,
192,FALSE,Togepi,Fairy,,Spike Ball,Catch,,,,35,20,65,40,65,20,245,Hustle,Serene Grace,Super Luck,,,,,,,,
193,FALSE,Togetic,Fairy,Flying,,Evolve,,,,55,40,85,80,105,40,405,Hustle,Serene Grace,Super Luck,,,,,,,,
194,FALSE,Togekiss,Fairy,Flying,,Evolve,,,,85,50,95,120,115,80,545,Hustle,Serene Grace,Super Luck,,,,,,,,
195,FALSE,Pitheook,Normal,,Tiny Monkey,Catch,,,,40,40,30,40,30,64,244,Run Away,Gluttony,Silly Rascal,16: Form Slam,,,,,,,
196,FALSE,Pansage,Grass,,,Evolve,,,,50,53,48,53,48,64,316,Overgrow,Gluttony,Silly Rascal,,,,,,,,
197,FALSE,Simisage,Grass,Fighting,,Evolve,,,,75,98,63,98,63,101,498,Overgrow,Gluttony,Monkey King,,,,,,,,
198,FALSE,Pansear,Fire,,,Evolve,,,,50,53,48,53,48,64,316,Blaze,Gluttony,Silly Rascal,,,,,,,,
199,FALSE,Simisear,Fire,Fighting,,Evolve,,,,75,98,63,98,63,101,498,Blaze,Gluttony,Monkey King,,,,,,,,
200,FALSE,Panpour,Water,,,Evolve,,,,50,53,48,53,48,64,316,Torrent,Gluttony,Silly Rascal,,,,,,,,
201,FALSE,Simipour,Water,Fighting,,Evolve,,,,75,98,63,98,63,101,498,Torrent,Gluttony,Monkey King,,,,,,,,
202,FALSE,Luvdisc,Water,,Heart,Catch,,,,43,30,55,85,55,107,375,Swift Swim,Hydration,Smoocher,,,,,,,,
203,FALSE,Basculin White Striped,Water,,Common Fish,Catch,,,,70,92,65,80,55,98,460,Swift Swim,Adaptability,Mold Breaker,,,,,,,,
204,FALSE,Basculegion M,Water,Ghost,,Evolve,,,,120,112,65,80,75,78,530,Swift Swim,Adaptability,Mold Breaker,,,,,,,,
F,FALSE,Basculegion F,Water,Ghost,,Evolve,,,,120,92,65,100,75,78,530,Swift Swim,Adaptability,Mold Breaker,,,,,,,,
207,FALSE,Remoraid,Water,,Bullet Jet,Catch,,,,35,65,35,65,35,65,300,Hustle,Moody,Arsenal,,,,,,,,
208,FALSE,Octillery,Water,,,Evolve,,,,75,105,75,105,75,45,480,Suction Cups,Moody,Arsenal,,,,,,,,
209,FALSE,Clobbopus,Fighting,,,Catch,,,,50,68,76,50,50,32,326,Limber,,Technician,,,,,,,,
210,FALSE,Grapploct,Fighting,,,Evolve,,,,80,118,90,70,80,42,480,Limber,,Technician,,,,,,,,
211,FALSE,Krabby,Water,,River Crab,Catch,Route 104,,,30,105,90,25,25,50,325,Hyper Cutter,Shell Armor,Sheer Force,,,,,,,,
212,FALSE,Kingler,Water,,,Evolve,,Catch,,55,135,115,50,50,75,480,Hyper Cutter,Shell Armor,Sheer Force,,,,,,,,
213,FALSE,Binacle,Rock,Water,Barnacle,Catch,,,,42,52,67,39,56,50,306,Tough Claws,Sniper,Pickpocket,,,,,,,,
214,FALSE,Barbaracle,Rock,Water,,Evolve,,,,72,105,115,54,86,68,500,Tough Claws,Sniper,Pickpocket,,,,,,,,
216,FALSE,Feebas,Water,,Ugly Fish,Catch,,,,15,15,20,10,55,80,195,Swift Swim,Oblivious,Adaptability,,,,,,,,
217,FALSE,Milotic,Water,Fairy,,Evolve,,,,95,60,79,100,125,81,540,Marvel Scale,Competitive,Cute Charm,,,,,,,,
215,FALSE,Shellos East,Water,,Sea Slug,Catch,,,,76,48,48,57,62,34,325,Sticky Hold,Storm Drain,Sand Force,,,,,,,,
F,FALSE,Shellos West,Water,,Sea Slug,Catch,,,,76,48,48,57,62,34,325,Sticky Hold,Storm Drain,Sand Force,,,,,,,,
218,FALSE,Gastrodon East,Water,Ground,,Evolve,,Catch,,111,83,68,92,82,39,475,Sticky Hold,Storm Drain,Sand Force,,,,,,,,
F,FALSE,Gastrodon West,Water,Ground,,Evolve,,Catch,,111,83,68,92,82,39,475,Sticky Hold,Storm Drain,Sand Force,,,,,,,,
219,FALSE,Dondozo,Water,,Big Catfish,Catch,,,,150,100,115,65,65,35,530,Unaware,Oblivious,Water Veil,,,,,,,,
220,FALSE,Tatsugiri Curly,Dragon,Water,Nigiri Sushi,Catch,,,,68,50,60,120,95,82,475,Commander,,Storm Drain,,,,,,,,
F,FALSE,Tatsugiri Droopy,Dragon,Water,,Catch,,,,68,50,60,120,95,82,475,Commander,,Storm Drain,,,,,,,,
F,FALSE,Tatsugiri Stretchy,Dragon,Water,,Catch,,,,68,50,60,120,95,82,475,Commander,,Storm Drain,,,,,,,,
221,FALSE,Skrelp,Poison,Water,Kelp,Catch,,,,50,60,60,60,60,30,320,Poison Point,Poison Touch,Adaptability,,,,,,,,
222,FALSE,Dragalge,Poison,Dragon,,Evolve,,,,65,75,90,97,123,44,494,Poison Point,Poison Touch,Adaptability,,,,,,,,
223,FALSE,Tynamo,Electric,,Elefish,Catch,,,,35,55,40,45,40,60,275,Levitate,,Superconduct,,,,,,,,
224,FALSE,Eelektrik,Electric,,,Evolve,,Catch,,65,85,70,75,70,40,405,Levitate,,Superconduct,,,,,,,,
225,FALSE,Eelektross,Electric,,,Evolve,,,,85,115,80,105,80,50,515,Levitate,,Superconduct,,,,,,,,
226,FALSE,Heatmor,Fire,,Anteater,Catch,,,,85,97,66,105,66,65,484,Flash Fire,White Smoke,Rivalry,,,,,,,,
227,FALSE,Durant,Bug,Steel,Iron Ant,Catch,,,,58,109,112,48,48,109,484,Swarm,Hustle,Rivalry,,,,,,,,
228,FALSE,Silicobra,Ground,,Sand Snake,Catch,Desert Underpass,,,52,57,75,35,50,46,315,Sand Spit,Shed Skin,Rivalry,,,,,,,,
229,FALSE,Sandaconda,Ground,,,Evolve,,Catch,Desert Underpass,72,107,125,65,70,71,510,Sand Spit,Shed Skin,Rivalry,,,,,,,,
230,FALSE,Smeargle,Normal,,Painter,Catch,Rustboro,,,55,20,35,20,45,75,250,Own Tempo,Technician,Moody,,,,,,,,
231,FALSE,Mimikyu Disguised,Ghost,Fairy,Disguised,Catch,,,,55,90,80,50,105,96,476,Disguise,,,,,,,,,,
232,FALSE,Mime Jr,Psychic,Fairy,Mime,Catch,,,,65,75,45,70,90,60,405,Soundproof,Filter,Technician,,,,,,,,
233,FALSE,Mr Mime,Psychic,Fairy,,Evolve,,Catch,,40,45,65,100,120,90,460,Soundproof,Filter,Technician,,,,,,,,
234,FALSE,Komala,Psychic,,Drowsing,Catch,,,,65,115,65,75,95,65,480,Comatose,,,,,,,,,,
235,FALSE,Elgyem,Psychic,,Cerebral,Catch,Granite Cave,,,55,55,55,85,55,30,335,Telepathy,Synchronize,Analytic,,,,,,,,
236,FALSE,Beheeyem,Psychic,,,Evolve,,,,75,75,75,125,95,40,485,Telepathy,Synchronize,Analytic,,,,,,,,
237,FALSE,Gligar,Ground,Flying,Fly Scorpion,Catch,Route 111,,,65,75,105,35,75,85,440,Hyper Cutter,Sand Veil,Immunity,,,,,,,,
238,FALSE,Gliscor,Ground,Flying,,Evolve,,,,75,95,125,45,75,95,510,Hyper Cutter,Sand Veil,Poison Heal,,,,,,,,
239,FALSE,Stunfisk,Ground,Electric,Mud Trap,Catch,Route 112,,,109,66,84,81,99,32,471,Static,Arena Trap,Sand Veil,,,,,,,,
240,FALSE,Rellor,Bug,,Rolling,Catch,,,,51,50,60,31,58,30,280,Compound Eyes,,Shed Skin,,,,,,,,
241,FALSE,Rabsca,Psychic,,,Evolve,,,,75,50,85,115,100,45,470,Synchronize,,Telepathy,,,,,,,,
242,FALSE,Sandygast,Ghost,Ground,Sand Heap,Catch,Desert Pass,,,55,55,80,70,45,15,320,Water Compaction,,Sand Veil,,,,,,,,
243,FALSE,Palossand,Ghost,Ground,,Evolve,,Catch,,85,75,110,100,75,35,480,Water Compaction,,Sand Veil,,,,,,,,
244,FALSE,Sandile,Ground,Dark,Desert Croc,Catch,Route 111,,,50,72,35,35,35,65,292,Intimidate,Moxie,Anger Point,,,,,,,,
245,FALSE,Krokorok,Ground,Dark,,Evolve,,Catch,,60,82,45,45,45,74,351,Intimidate,Moxie,Anger Point,,,,,,,,
246,FALSE,Krookodile,Ground,Dark,,Evolve,,,,95,117,80,65,70,92,519,Intimidate,Moxie,Anger Point,,,,,,,,
247,FALSE,Golett,Ground,Ghost,Automaton,Catch,Route 111,,,59,74,50,35,50,35,303,Iron Fist,Klutz,No Guard,,,,,,,,
248,FALSE,Golurk,Ground,Ghost,,Evolve,,Catch,,89,124,80,55,80,55,483,Iron Fist,Klutz,No Guard,,,,,,,,
249,FALSE,Numel,Fire,Ground,Magma Geode,Catch,,,,60,60,40,65,45,35,305,Oblivious,Simple,Own Tempo,,,,,,,,
250,FALSE,Camerupt,Fire,Ground,,Evolve,,,,70,100,70,105,75,40,460,Magma Armor,Solid Rock,Anger Point,,,,,,,,
251,FALSE,Slugma,Fire,,Lava,Catch,Route 113,,,40,40,40,70,40,20,250,Magma Armor,Flame Body,Weak Armor,,,,,,,,
252,FALSE,Magcargo,Fire,Rock,,Evolve,,Catch,,60,50,120,90,80,30,430,Magma Armor,Flame Body,Weak Armor,,,,,,,,
253,FALSE,Litwick,Ghost,Fire,Candle,Catch,Rustboro,,,50,30,55,65,55,20,275,Flash Fire,Flame Body,Infiltrator,,,,,,,,
254,FALSE,Lampent,Ghost,Fire,,Evolve,,Catch,,60,40,60,95,60,55,370,Flash Fire,Flame Body,Infiltrator,,,,,,,,
255,FALSE,Chandelure,Ghost,Fire,,Evolve,,,,60,55,90,145,90,80,520,Flash Fire,Flame Body,Infiltrator,,,,,,,,
256,FALSE,Charcadet,Fire,,Fire Child,Catch,,,,40,50,40,50,40,35,255,Flash Fire,,Flame Body,,,,,,,,
257,FALSE,Ceruledge,Fire,Ghost,,Evolve,,,,75,125,80,60,100,85,525,Flash Fire,,Weak Armor,,,,,,,,
258,FALSE,Armarouge,Fire,Psychic,,Evolve,,,,85,60,100,125,80,75,525,Flash Fire,,Weak Armor,,,,,,,,
259,FALSE,Porygon,Normal,,Virtual,Catch,Desert Underpass,,,65,60,70,85,75,40,395,Toggle Mode,Download,Analytic,,,,,,,,
260,FALSE,Porygon2,Normal,Psychic,,Evolve,Porygon (upg.),,,85,70,80,125,85,100,545,Toggle Mode,Download,Analytic,,,,,,,,
261,FALSE,Porygon Z,Normal,Poison,,Evolve,Porygon (corr.),,,85,125,70,90,70,105,545,Toggle Mode,Download,Corrupted,,,,,,,,
262,FALSE,Castform Normal,Normal,,Weather,Catch,,,,110,50,60,50,60,60,390,Forecast,,,12: Form Slam,24: Aqua Step,29: Pyro Ball,38: Sunburst,38: Needle Rain,38: Snow Drifts,28: Ice Beam,42: Wave Crash
F,FALSE,Castform Sunny,Fire,,,Ability,Forecast,,,110,125,95,50,75,101,556,Forecast,,,,,,,,,,
F,FALSE,Castform Rainy,Water,,,Ability,Forecast,,,110,110,60,110,60,106,556,Forecast,,,,,,,,,,
F,FALSE,Castform Snowy,Ice,,,Ability,Forecast,,,110,50,75,125,95,101,556,Forecast,,,,,,,,,,
263,FALSE,Snorunt,Ice,,Snow Hat,Catch,,,,50,50,50,50,50,50,300,Inner Focus,Ice Body,Moody,,,,,,,,
264,FALSE,Glalie,Ice,,,Evolve,,Catch,,80,80,80,80,80,80,480,Inner Focus,Ice Body,Moody,,,,,,,,
265,FALSE,Froslass,Ice,Ghost,,Evolve,,Catch,,70,80,70,80,70,110,480,Snow Cloak,,Cursed Body,,,,,,,,
266,FALSE,Swinub,Ice,Ground,Cold Pig,Catch,,,,50,50,40,30,30,50,250,Oblivious,Snow Cloak,Thick Fat,,,,,,,,
267,FALSE,Piloswine,Ice,Ground,,Evolve,,Catch,,100,100,80,60,60,50,450,Oblivious,Snow Cloak,Thick Fat,,,,,,,,
268,FALSE,Mamoswine,Ice,Ground,,Evolve,,,,110,130,80,70,60,80,530,Oblivious,Snow Cloak,Thick Fat,,,,,,,,
269,FALSE,Sneasel,Dark,Ice,Sharp Claw,Catch,,,,55,95,55,35,75,115,430,Inner Focus,Keen Eye,Pickpocket,,,,,,,,
270,FALSE,Weavile,Dark,Ice,,Evolve,,,,70,120,65,45,85,125,510,Pressure,Keen Eye,Pickpocket,,,,,,,,
271,FALSE,Cetoddle,Ice,,Tundra Whale,Catch,,,,108,68,45,30,40,43,334,Thick Fat,Snow Cloak,Sheer Force,,,,,,,,
272,FALSE,Cetitan,Ice,,,Evolve,,,,170,113,65,45,55,73,521,Thick Fat,Slush Rush,Sheer Force,,,,,,,,
273,FALSE,Bergmite,Ice,,Ice Chunk,Catch,,,,55,69,85,32,35,28,304,Sturdy,Ice Body,Rivalry,,,,,,,,
274,FALSE,Avalugg,Ice,,,Evolve,,,,95,117,184,44,46,28,514,Sturdy,Ice Body,Rivalry,Evo: Berg Carrier,,,,,,,
275,FALSE,Frigibax,Dragon,Ice,Ice Fin,Catch,,,,65,75,45,35,45,55,320,Thermal Exchange,Ice Body,Rivalry,,,,,,,,
276,FALSE,Arctibax,Dragon,Ice,,Evolve,,Catch,,90,95,66,45,86,62,444,Thermal Exchange,Ice Body,Rivalry,,,,,,,,
277,FALSE,Baxcalibur,Dragon,Ice,,Evolve,,,,115,125,92,75,86,87,580,Thermal Exchange,Ice Body,Rivalry,,,,,,,,
278,FALSE,Noibat,Flying,Dragon,Bat Ear,Catch,Sandy Caves,,,40,30,35,45,40,55,245,Frisk,Infiltrator,Telepathy,,,,,,,,
279,FALSE,Noivern,Flying,Dragon,,Evolve,,Catch,Sandy Caves,85,70,80,97,80,123,535,Frisk,Infiltrator,Telepathy,,,,,,,,
280,FALSE,Axew,Dragon,,Tusk,Catch,Sandy Caves,,,46,87,60,30,40,57,320,Mold Breaker,Unnerve,Sharpness,,,,,,,,
281,FALSE,Fraxure,Dragon,,,Evolve,,Catch,,66,117,70,40,50,67,410,Mold Breaker,Unnerve,Sharpness,,,,,,,,
282,FALSE,Haxorus,Dragon,,,Evolve,,,,76,147,90,60,70,97,540,Mold Breaker,Unnerve,Sharpness,,,,,,,,
283,FALSE,Jangmo-o,Dragon,,Scaly,Catch,,,,55,55,65,45,45,45,310,Bulletproof,Soundproof,Overcoat,,,,,,,,
284,FALSE,Hakamo-o,Dragon,Fighting,,Evolve,,Catch,,55,75,90,65,70,65,420,Bulletproof,Soundproof,Overcoat,,,,,,,,
285,FALSE,Kommo-o,Dragon,Fighting,,Evolve,,,,75,110,120,85,105,85,580,Bulletproof,Soundproof,Overcoat,,,,,,,,
286,FALSE,Kubfu,Fighting,,Martial Arts,Gift,,,,55,90,60,53,50,72,380,Inner focus,,,,,,,,,,
287,FALSE,Urshifu Single Strike,Fighting,Dark,,Evolve,,Form,,100,125,100,63,60,97,545,Unseen Fist,,,,,,,,,,
F,FALSE,Urshifu Rapid Strike,Fighting,Water,,Form,,,,100,125,100,63,60,97,545,Unseen Fist,,,,,,,,,,
288,FALSE,Jirachi,Steel,Psychic,Wishing Eye,Catch,,,,100,100,100,100,100,100,600,Serene Grace,,,,,,,,,,
289,FALSE,Deoxys Normal,Psychic,,DNA,Catch,,,,50,150,50,150,50,150,600,Pressure,,,,,,,,,,
F,FALSE,Deoxys Attack,Psychic,,,Form,,,,50,180,20,180,20,150,600,Pressure,,,,,,,,,,
F,FALSE,Deoxys Defense,Psychic,,,Form,,,,50,70,160,70,90,90,530,Pressure,,,,,,,,,,
F,FALSE,Deoxys Speed,Psychic,,,Form,,,,50,95,90,95,90,180,600,Pressure,,,,,,,,,,
290,FALSE,Kyogre,Water,,Basin Whale,Catch,,,,100,100,90,150,140,90,670,Drizzle,,,,,,,,,,
291,FALSE,Groudon,Ground,,Continent Dino,Catch,,,,100,150,140,100,90,90,670,Drought,,,,,,,,,,
292,FALSE,Rayquaza,Dragon,Flying,Sky Dragon,Catch,,,,105,150,90,150,90,95,680,Air Lock,,,,,,,,,,
293,FALSE,Latios,Dragon,Psychic,Eon Drake (Male),Catch,,,,80,90,80,130,110,110,600,Levitate,,,,,,,,,,
294,FALSE,Latias,Dragon,Psychic,Eon Drake (Female),Catch,,,,80,80,90,110,130,110,600,Levitate,,,,,,,,,,
295,FALSE,Regirock,Rock,,Rock Peak,Catch,,,,80,100,200,50,100,50,580,Clear Body,,Sturdy,,,,,,,,
296,FALSE,Regice,Ice,,Iceberg,Catch,,,,80,50,100,100,200,50,580,Clear Body,,Ice Body,,,,,,,,
297,FALSE,Registeel,Steel,,Pure Iron,Catch,,,,80,75,150,75,150,50,580,Clear Body,,Light Metal,,,,,,,,
298,FALSE,Regieleki,Electric,,Electron,,,,,80,100,50,100,50,200,580,Transistor,,,,,,,,,,
299,FALSE,Regidrago,Dragon,,Dragon Orb,,,,,200,100,50,100,50,80,580,Dragon's Maw,,,,,,,,,,
300,FALSE,Regigigas,Normal,,Colossal,Catch,,,,110,160,110,80,110,100,670,Slow Start,,,,,,,,,,
301,FALSE,Tornadus Incarnate,Flying,,Cyclone,Catch,,Form,,79,115,70,125,80,111,580,Prankster,,Defiant,,,,,,,,
F,FALSE,Tornadus Therian,Flying,,,Form,,,,79,100,80,110,90,121,580,Regenerator,,Regenerator,,,,,,,,
302,FALSE,Landorus Incarnate,Ground,Flying,Quake,Catch,,Form,,89,125,90,115,80,91,590,Sand Force,,Sheer Force,,,,,,,,
F,FALSE,Landorus Therian,Ground,Flying,,Form,,,,89,125,105,85,95,91,590,Intimidate,,Intimidate,,,,,,,,
303,FALSE,Thundurus Incarnate,Electric,Flying,Bolt Strike,Catch,,Form,,79,115,70,125,80,111,580,Prankster,,Defiant,,,,,,,,
F,FALSE,Thundurus Therian,Electric,Flying,,Form,,,,79,105,70,145,80,101,580,Volt Absorb,,Volt Absorb,,,,,,,,
